Citra Dewi, Citra Kusuma Dewi
Li-Wei Kang, 0
Ashif. A. Fathnan, 0
David A. Powell, 0
Risman Adnan, Risman Adnan Mattotorang
Hilman Fauzi, Hilman Fauzi Tresna Sania Putra
Irawan Nurhas, 0
Arto Ojala, 0
Jan M. Pawlowski, 0
Stefan Geisler, 0
Hamami F., Faqih Hamami
Armi N., Nasrullah Armi
Rezzyeko Caraka, Rezzy Eko Caraka
Rachmat H., Haris Rachmat
Ihsan A.F., Aditya Firman Ihsan
Hadiyoso S., Sugondo Hadiyoso
Aulia S., Suci Aulia
Wijayanto I., Inung Wijayanto
Fauzia Ahmad, 0
Afief D. Pambudi, 0
Abdelhak M. Zoubir, 0
Denny Kusuma Hendraningrat, 0
Gandeva Bayu Satrya, 0
I. Nyoman Apraz Ramatryana, 0
Salma S.A., Sheila Amalia Salma
Dewi K. Soedarsono, Dewi K Soedarsono
Palton Anuwiksa, I Wayan Palton Anuwiksa
Rd Rohmat Saedudin, Rd. Rohmat Saedudin
Arnida L. Latifah, Arnida Lailatul Latifah
Syarifuddin Syarifuddin, Syarifuddin
Hilman Fauzi, Hilman Fauzi Tresna Sania Putra
Guntur P. Kusuma, Guntur Prabawa Kusuma
Suyanto Suyanto, Suyanto
Kemas M. Lhaksmana, Kemas Muslim Lhaksmana
Moch Arif Bijaksana, Moch. Arif Bijaksana
Pradana M., Mahir Pradana
Arfianto Fahmi, 0
Iqbal M., Muhammad Iqbal
Aditya B.R., Bayu Rima Aditya
